------------------ 500 2
0.45456
0.44767
0.45024
0.49224
0.49931
0.50211
0.48533
0.48562
0.44504
0.45421
------------------ 500 4
0.41586
0.42636
0.43533
0.42990
0.42852
0.43252
0.40991
0.43454
0.42763
0.51405
------------------ 1000 2
4.97341
4.60854
4.51652
4.42503
4.57449
4.56316
4.55032
4.54183
4.50618
4.51183
------------------ 1000 4
4.49786
4.49353
4.56892
4.54420
4.50011
4.47961
4.53126
4.49948
4.47627
4.44739
------------------ 1500 2
15.87557
16.82764
17.08175
15.85680
15.60604
15.85452
15.97292
16.80784
17.86502
16.02421
------------------ 1500 4
16.62578
16.43571
16.87542
18.26664
16.93795
17.19213
16.72750
16.92001
18.61601
17.01110
------------------ 2000 2
47.42902
46.68741
46.16069
49.20425
58.76760
47.03859
46.77342
46.60849
46.91781
46.85611
------------------ 2000 4
42.50049
43.88625
44.85204
46.57423
45.04636
42.29124
52.02333
57.02023
48.85439
46.12411
------------------ 2500 2
96.00420
93.85663
93.23735
94.12287
92.49062
92.89051
92.28574
92.87683
92.00516
92.28537
------------------ 2500 4
88.85291
86.06856
83.65526
86.61987
87.19770
87.07015
87.43880
87.71252
88.31427
84.35347
------------------ 3000 2
170.60430
169.76173
168.94636
169.06053
168.72933
168.33666
